@@376650	##	fo
Did	do	vdd
she	she	pphs1
enchant	enchant	vvi
him	him	ppho1
with	with	iw
her	her	ppho1_appge
caddying	caddy	vvg_nn1@
skills	skill	nn2
?	?	y
Was	be	vbdz
she	she	pphs1
the	the	at
first	first	md
gal	gal	nn1
who	who	pnqs
got	get	vvd
his	his	appge
Fuzzy	fuzzy	jj
Zoeller	zoeller	nn1	
jokes	joke	nn2_vvz@
?	?	y
One	one	pn1
can	can	vm
only	only	rr
speculate	speculate	vvi
as	as	ii21
to	to	ii22
what	what	ddq
really	really	rr
attracted	attract	vvn_jj@_vvd
TIGER	tiger	nn1
WOODS	wood	nn2_np1
,	,	y
27	27	mc
,	,	y
to	to	ii
Swedish	swedish	jj
former	former	da
swimsuit	swimsuit	nn1
model	model	nn1
ELIN	elin	np1_nn1	
NORDEGREN	nordegren	np1_nn1	
,	,	y
23	23	mc
.	.	y
Woods	wood	np1_nn2
proposed	propose	vvd
to	to	ii
Nordegren	nordegren	np1_nn1	
at	at	ii
a	a	at1
game	game	nn1
reserve	reserve	nn1_vv0
in	in	ii
South	south	np1
Africa	africa	np1
last	last	md
week	week	nnt1
,	,	y
where	where	cs_rrq
he	he	pphs1
played	play	vvd
in	in	ii
the	the	at
Presidents	president	nn2
Cup	cup	nn1
.	.	y
Sport	sport	nn1
's	's	ge
most	most	rgt
eligible	eligible	jj
bachelor	bachelor	nn1
met	meet	vvd_vvn
his	his	appge
fiance	fiance	nn1
two	two	mc
years	year	nnt2
ago	ago	ra
while	while	cs
she	she	pphs1
was	be	vbdz
an	an	at1
au	au	nn121
pair	pair	nn122
for	for	if
a	a	at1
fellow	fellow	jj_nn1
golfer	golfer	nn1
.	.	y
Around	around	ii
that	that	dd1
time	time	nnt1
,	,	y
Woods	wood	np1
'	'	ge
father	father	nn1
predicted	predict	vvd_vvn
his	his	appge
son	son	nn1
would	would	vm
n't	n't	xx
marry	marry	vvi
before	before	ii_cs
age	age	nn1
30	30	mc
,	,	y
saying	say	vvg
,	,	y
"	"	"
A	a	zz1_at1@
wife	wife	nn1
can	can	vm
sometimes	sometimes	rt
be	be	vbi
a	a	at1
deterrent	deterrent	nn1
to	to	ii
a	a	at1
good	good	jj
game	game	nn1
of	of	io
golf	golf	nn1
.	.	y
"	"	"
Upon	upon	ii
hearing	hear	vvg
this	this	dd1
,	,	y
presumably	presumably	rr
,	,	y
Woods	wood	np1
'	'	ge
rivals	rival	nn2
all	all	rr@_db
raced	race	vvn_vvd
to	to	to
fix	fix	vvi
him	him	ppho1
up	up	rp
with	with	iw
the	the	at
hottest	hot	jjt
nanny	nanny	nn1
they	they	pphs2
could	could	vm
find	find	vvi
.	.	y
