@@683850	##	fo
Innovations	innovation	nn2
In	in	ii
soldier	soldier	nn1
?	?	y
recreations	recreation	nn2
are	be	vbr
recommended	recommend	vvn
by	by	ii
Miss	miss	nnb
Mary	mary	np1
Wood	wood	np1
Hinman	hinman	np1
,	,	y
official	official	jj
hostess	hostess	nn1
of	of	io
the	the	at
state	state	nn1
of	of	io
Illinois	illinois	np1
,	,	y
who	who	pnqs
has	have	vhz
returned	return	vvn
from	from	ii
a	a	at1
conference	conference	nn1
on	on	ii
soldier	soldier	nn1
?	?	y
welfare	welfare	nn1
at	at	ii
Des	des	np1
Moines	moines	np2
,	,	y
participated	participate	vvd
in	in	rp@
by	by	ii
delegates	delegate	nn2
from	from	ii
ten	ten	mc
western	western	jj
states	state	nn2
.	.	y
In	in	ii
'	'	ge
New	new	np1
York	york	np1
the	the	at
ban	ban	nn1
on	on	ii
Sunday	sunday	npd1
dancing	dancing	nn1
has	have	vhz
been	be	vbn
lifted	lift	vvn
by	by	ii
church	church	nn1
and	and	cc
social	social	jj
organizations	organization	nn2
to	to	to
insure	insure	vvi
clean	clean	jj
fun	fun	nn1_jj
for	for	if
the	the	at
soldiers	soldier	nn2
.	.	y
"	"	"
A	a	at1_zz1
recognized	recognize	jj@
posture	posture	nn1
for	for	if
dancing	dance	vvg_nn1_jj@
couples	couple	nn2
and	and	cc
also	also	rr
supervision	supervision	nn1
of	of	io
the	the	at
music	music	nn1
that	that	cst_dd1
is	be	vbz
played	play	vvn
are	be	vbr
found	find	vvn
to	to	to
be	be	vbi
a	a	at1
great	great	jj
aid	aid	nn1
to	to	ii
proper	proper	jj
conduct	conduct	nn1
,	,	y
"	"	"
said	say	vvd
Miss	miss	nnb
Hinman	hinman	np1
.	.	y
Chicago	chicago	np1
must	must	vm
do	do	vdi
more	more	rrr_dar
to	to	to
provide	provide	vvi
lodging	lodge	vvg
houses	house	nn2
,	,	y
she	she	pphs1
urges	urge	vvz
,	,	y
for	for	if
"	"	"
the	the	at
six	six	mc
thousand	thousand	m
boys	boy	nn2
that	that	cst
pour	pour	vv0
into	into	ii
the	the	at
city	city	nn1
every	every	at1
Saturday	saturday	npd1
night	night	nnt1
.	.	y
"	"	"
In	in	ii
many	many	da2
of	of	io
the	the	at
eastern	eastern	jj
cities	city	nn2
special	special	jj
quarters	quarter	nn2
have	have	vh0
been	be	vbn
established	establish	vvn
to	to	to
accomodate	accomodate	vvi
the	the	at
men	man	nn2
.	.	y
Miss	miss	nnb
Hinman	hinman	np1
will	will	vm
submit	submit	vvi
a	a	at1
report	report	nn1
to	to	ii
the	the	at
war	war	nn1
recreation	recreation	nn1
board	board	nn1
of	of	io
Illinois	illinois	np1
for	for	if
which	which	ddq
she	she	pphs1
made	make	vvd
the	the	at
trip	trip	nn1
.	.	y
