@@333550	##	fo
In	in	ii31
spite	spite	ii32
of	of	ii33
the	the	at
Reagan	reagan	np1
Administration	administration	nn1
's	's	ge
concern	concern	nn1
about	about	ii
talkative	talkative	jj
federal	federal	jj
employees	employee	nn2
,	,	y
the	the	at
frequency	frequency	nn1
of	of	io
leaks	leak	nn2
from	from	ii
Government	government	nn1
officials	official	nn2
to	to	ii
the	the	at
press	press	nn1
has	have	vhz
not	not	xx
changed	change	vvn
much	much	rr_da1
since	since	cs_ii@
the	the	at
early	early	jj
1960s	1960s	mc2
.	.	y
That	that	dd1
is	be	vbz
the	the	at
conclusion	conclusion	nn1
of	of	io
a	a	at1
survey	survey	nn1
by	by	ii
Harvard	harvard	np1
University	university	nn1
Lecturer	lecturer	nn1
Martin	martin	np1
Linsky	linsky	np1
,	,	y
who	who	pnqs
found	find	vvd
that	that	cst
a	a	at1
fairly	fairly	rr
consistent	consistent	jj
42%	42%	nnu
of	of	io
White	white	np1
House	house	nn1
officials	official	nn2
and	and	cc
members	member	nn2
of	of	io
Congress	congress	nn1
say	say	vv0
they	they	pphs2
have	have	vh0
given	give	vvn
confidential	confidential	jj
information	information	nn1
to	to	ii
reporters	reporter	nn2
over	over	ii
the	the	at
years	year	nnt2
.	.	y
<P>	<p>	null	
Some	some	dd
78%	78%	nnu
said	say	vvd
their	their	appge
reason	reason	nn1
for	for	if
"	"	"
leaking	leak	vvg_nn1@
"	"	"
was	be	vbdz
to	to	to
counter	counter	vvi
false	false	jj
or	or	cc
misleading	misleading	jj
information	information	nn1
.	.	y
Linsky	linsky	np1@_jj	
,	,	y
who	who	pnqs
interviewed	interview	vvd
almost	almost	rr
500	500	mc
White	white	np1
House	house	nn1
officials	official	nn2
and	and	cc
members	member	nn2
of	of	io
Congress	congress	nn1
from	from	ii
the	the	at
Johnson	johnson	np1
through	through	ii
the	the	at
Reagan	reagan	np1
Administrations	administration	nn2
,	,	y
concludes	conclude	vvz
,	,	y
"	"	"
Leaks	leak	nn2
are	be	vbr
the	the	at
coin	coin	nn1
of	of	io
the	the	at
realm	realm	nn1
,	,	y
the	the	at
way	way	nn1
of	of	io
life	life	nn1
in	in	ii
Washington	washington	np1
.	.	y
"	"	"
