ftalk	stalk
back	back
toward	toward
bis	his
dclk	desk
tom	tom
fit	sit
verv	very
gingcrly	gingerly
prefently	presently
hc	he
fleal	steal
a	a
look	look
tovard	toward
becky	becky
and	and
lee	see
her	her
furtively	furtively
hold	hold
up	up
her	her
flate	slate
as	as
le	he
read	read
what	what
fhe	she
haae	have
write	write
the	the
look	look
on	on
his	his
face	face
clange	change
insert	insert
beckv	becky
f	s
lhate	slate
on	on
it	it
be	be
write	write
how	how
could	could
vou	you
be	be
lo	so
nohle	noble
medium	medium
clofe	close
shot	shot
tom	tom
s	s
expreffion	expression
cbange	change
to	to
tbat	that
of	of
a	a
lovesick	lovesick
beatifv	beatify
cal	calf
as	as
he	he
read	read
there	there
be	be
a	a
croak	croak
from	from
tle	the
frog	frog
flofe	close
bv	by
and	and
vithout	without
fhange	change
xpreffion	expression
tom	tom
rcadb	reach
dwn	down
pmck	pick
up	up
the	the
frog	frog
ho	who
bave	have
wander	wander
over	over
to	to
hf	his
dcfk	desk
and	and
put	put
lim	him
into	into
hif	his
pocket	pocket
still	still
ftarc	stare
moonilv	moonily
at	at
the	the
flatc	slate
forget	forget
tbe	the
precainuf	precarious
condition	condition
of	of
we	we
get	get
the	the
expiession	expression
of	of
pain	pain
on	on
bis	his
lacc	face
wl	we
dilfolv	dissolve
to	to
uote	note
please	please
make	make
sufficient	sufficient
sound	sound
track	track
of	of
chalk	chalk
pcncih	pencil
fcratch	scratch
on	on
flate	slate
section	section
detail	detail
ext	ext
river	river
s	s
cdge	edge
close	close
fhot	shot
viev	view
page	page
image	image
tm	tom
i	s
rcflection	reflection
upsldc	upside
down	down
in	in
tle	the
water	water
tom	tom
vitl	with
great	great
admration	admiration
ha	how
could	could
vou	you
be	be
fo	so
nchle	noble
beckv	becky
s	s
reflectou	reflection
appear	appear
in	in
the	the
water	water
af	as
she	she
enter	enter
to	to
tom	tom
s	s
ide	side
mlc	she
drop	drop
a	a
pebble	pebble
in	in
ihe	the
vater	water
disturb	disturb
the	the
reflection	reflection
ibc	the
camcra	camera
pull	pull
back	back
as	as
tom	tom
straigbten	straighten
up	up
in	in
conufion	confusion
tbeb	they
be	be
botl	both
vcry	very
fhy	shy
aftr	after
a	a
bricf	brief
downcast	downcast
iook	look
at	at
tom	tom
fhe	she
flt	sit
gingery	gingerly
down	down
on	on
a	a
faul	fall
tree	tree
tom	tom
greatuv	greatly
embarrasled	embarrassed
puudk	pluck
ui	up
courage	courage
enough	enough
to	to
take	take
a	a
jeat	seat
a	a
few	few
fot	foot
aiav	away
on	on
tle	the
same	same
iall	fall
iree	tree
be	he
lave	have
forgct	forget
hii	his
tendei	tender
rear	rear
aud	and
have	have
to	to
make	make
readjuftment	readjustment
each	each
give	give
the	the
other	other
a	a
furiive	furtive
look	look
or	or
two	two
as	as
tom	tom
dge	edge
up	up
lo	to
a	a
placv	place
bcsidd	beside
her	her
tio	two
fbot	shot
tm	tom
and	and
do	do
ycu	you
love	love
rat	rat
i	i
hate	hate
tlem	them
tomi	tomi
mcan	mean
dead	dead
one	one
to	to
fwing	swing
around	around
vour	your
lead	head
witl	with
a	a
ftring	string
i	i
do	do
nt	nt
carc	care
for	for
rat	rat
much	much
anyway	anyway
uhomal	thomas
call	call
mc	me
tom	tom
wihl	will
you	you
beckv	becky
sbylv	shyly
tom	tom
there	there
he	be
an	an
interchange	interchange
of	of
siy	shy
loo	look
then	then
heckv	becky
be	be
vou	you
ever	ever
engage	engage
bc	be
tbat	that
engage	engage
to	to
hc	be
married	married
you	you
lkc	like
to	to
do	do
nt	nt
know	know
bc	be
ever	ever
f	so
cafy	easy
you	you
only	only
juft	just
say	say
to	to
each	each
othur	other
i	i
love	love
you	you
anybdy	anybody
can	can
do	do
lt	it
view	view
page	page
image	image
at	at
this	this
momnt	moment
tom	tom
s	s
frog	frog
under	under
bis	his
hat	hat
give	give
a	a
difmal	dismal
croak	croak
tom	tom
pay	pay
no	no
attention	attention
to	to
it	it
vbatsocver	whatsoever
draw	draw
away	away
timidly	timidly
somr	some
other	other
time	time
saturday	saturday
becky	becky
i	i
will	will
vhisper	whisper
lt	it
as	as
le	he
bend	bend
over	over
a	a
little	little
anny	annoy
thuf	this
time	time
tom	tom
give	give
bif	his
lat	hat
a	a
gcnlle	gentle
lap	tap
to	to
filence	silence
the	the
lrog	frog
tlen	then
put	put
his	his
arm	arm
around	around
bccky	becky
f	s
waift	waist
and	and
ahispcr	whisper
aith	with
lil	his
montb	mouth
chose	close
to	to
hcr	her
ear	ear
i	i
love	love
you	you
thcn	then
aloud	aloud
vou	you
whmfper	whisper
t	it
to	to
me	me
becky	becky
deephy	deeply
mbarrassed	embarrassed
you	you
turn	turn
your	your
face	face
away	away
fo	so
von	you
can	can
nt	nt
fee	see
and	and
thcn	then
i	i
vill	will
tom	tom
turn	turn
his	his
face	face
away	away
obediently	obediently
beky	becky
fpiing	spring
up	up
and	and
ftart	start
to	to
run	run
hut	but
fall	fall
on	on
ber	her
face	face
tom	tom
help	help
her	her
up	up
and	and
loud	hold
ber	her
hv	by
th	the
laud	hand
hecky	becky
remind	remind
turn	turn
your	your
face	face
avay	away
tom	tom
turn	turn
hll	his
ce	face
again	again
beukv	becky
bend	bend
tlmidly	timidly
wclsper	whisper
i	i
love	love
you	you
with	with
thif	this
jle	she
fprmng	spring
uj	up
medium	medium
long	long
fhot	shot
hecky	becky
rnn	run
around	around
the	the
wllsow	willow
tree	tree
trnnk	trunk
vitl	with
tom	tom
aiter	after
ber	her
it	it
hc	be
all	all
ver	over
but	but
tbe	the
klsf	kiss
wbat	what
do	do
vou	you
kilf	kiss
for	for
tbal	that
well	well
tbey	they
alwayf	always
do	do
tlat	that
wbite	white
apron	apron
over	over
hcr	her
fafe	face
tom	tom
tng	tug
at	at
hcr	her
apron	apron
and	and
hand	hand
nt	nt
he	be
afeared	afeared
t	it
a	ai
nt	nt
anything	anything
at	at
all	all
pleafe	please
becky	becky
fuddenly	suddenly
shc	she
give	give
up	up
the	the
struggle	struggle
and	and
let	let
her	her
hand	hand
drop	drop
but	but
before	before
tom	tom
can	can
kiff	kiss
ber	her
tlc	the
frog	frog
croak	croak
for	for
the	the
thrd	third
tmc	time
tom	tom
without	without
look	look
away	away
rom	from
hecky	becky
automatlcally	automatically
lake	take
the	the
lat	hat
witl	with
tle	the
frog	frog
slill	still
insidc	inside
from	from
hif	his
lad	head
and	and
put	put
lt	it
on	on
the	the
ground	ground
bc	he
ftiaighten	straighten
up	up
and	and
lean	lean
toward	toward
beky	becky
and	and
af	as
becky	becky
put	put
up	up
her	her
face	face
he	he
kisf	kiss
her	her
on	on
the	the
cleek	cheek
viea	view
page	page
imagc	image
tcm	tom
meassuringlv	reassuringly
nov	now
it	it
be	be
all	all
do	do
aiter	after
this	this
yon	you
ai	ai
nt	nt
never	never
to	to
marry	marry
anvbody	anybody
but	but
me	me
never	never
wilu	will
you	you
tom	tom
and	and
von	you
ai	ai
nt	nt
to	to
cvcr	ever
marry	marry
anybodv	anybody
hut	but
me	me
eitlrr	either
courfe	course
that	that
be	be
part	part
of	of
it	it
be	be
so	so
nice	nice
i	i
never	never
hcar	hear
of	of
it	it
befoie	before
view	view
page	page
whj	why
vhln	when
me	me
and	and
amv	amy
lavrence	lawrence
wlcn	when
we	we
be	be
hc	he
ftoi	stop
confufe	confuse
hut	but
too	too
late	late
bccky	becky
witv	with
a	a
hearthrken	heartbroken
cry	cry
amv	amy
hawrcnce	lawrence
you	you
and	and
amy	amy
lawrenc	lawrence
oh	oh
tom	tom
tlen	then
i	i
ai	ai
nt	nt
tle	the
firft	first
yon	you
ever	ever
bc	be
engage	engage
to	to
fl	she
start	start
to	to
aeep	weep
tom	tom
franlicallv	frantically
do	do
nt	nt
crv	cry
beckv	becky
that	that
be	be
a	a
montl	month
ago	ago
away	away
tom	tom
trv	try
to	to
put	put
his	his
arm	arm
around	around
her	her
but	but
sbe	she
pufl	push
bim	him
turn	turn
ler	her
faco	face
to	to
tle	the
tree	tree
trunk	trunk
weeping	weeping
fbe	she
stand	stand
fob	sob
with	with
her	her
face	face
to	to
te	the
