h	b	1514165
s	f	361170
h	l	293317
y	v	117979
i	l	112553
h	l	107798
h	l	97661
i	l	97008
s	f	94856
i		92629
y	v	85374
o		81230
i	l	79674
s	f	70241
h	l	69523
i	l	69082
o		64483
s	f	64446
h	l	64138
i		60471
w	a	58182
i	l	58096
i		57779
o		57309
h	b	57099
h	l	54807
h	l	49859
r	m	49487
w	a	47330
s	f	47001
i	l	45505
i		45328
l	h	45109
s	f	44690
c	e	44685
r	i	43468
w	v	43422
o		42778
i		42533
h	l	42171
w	a	42126
h	b	42091
t	i	41973
c	e	41380
h	b	41380
i	l	40843
i	l	40644
h	l	40321
u	n	39710
w	a	39699
h	l	39531
s	f	39289
o		39056
h	l	39046
l	h	38659
y	v	37644
t	i	37477
s	f	37339
i		37131
i		36732
l		36732
t	i	36664
o		36090
y	v	35921
b	h	35637
h	b	35528
y	v	35201
i		35093
s	f	34818
i		34480
r	i	33902
h	b	33757
s	f	33747
r	m	33720
h	i	33605
o		33228
t	l	31694
i	l	31628
w	a	31240
l	u	30014
s	f	29993
w	v	29952
b	h	29789
i	l	29551
s	f	29373
h	l	29344
w	a	29191
t	i	29189
h	b	29143
w	i	29101
i	l	29015
h	b	28426
i	l	28245
u	n	28201
h	l	28096
u	n	28075
s	i	28073
i	l	27793
i		27754
o		27739
y	v	27652
s	f	27554
n	u	27543
i		27525
i	l	27522
b	h	27444
r	i	27438
h	l	27394
s	f	26938
i	l	26602
h	l	26551
i	l	26464
v	v	26464
e	e	26464
r	r	26464
s	s	26464
i	l	26464
o		26458
s	f	26394
s	f	26363
h	l	26115
h	l	25916
t	l	25891
s	f	25847
u	n	25763
y	v	25349
s	f	25286
f	l	25269
s	f	25240
w	a	25175
h	b	24791
b	h	24677
o		24563
h	l	24537
i		24445
n	u	24113
i		24059
h	l	23840
u	n	23797
w	v	23763
s	f	23653
i	l	23648
h	l	23454
s	f	23265
y	v	23150
h	l	22990
i		22981
i		22921
i		22597
y	v	22512
o		22479
r	i	22411
e		22171
s	f	22148
s	f	21864
r	i	21717
h	l	21483
i	i	21483
c	i	21483
h	c	21483
o	c	21413
s	f	21016
s	f	20862
u	u	20862
b	b	20862
s	f	20862
i	i	20862
s	f	20862
h	l	20590
s	f	20541
h	l	20526
s	i	20513
h		20246
s	f	20192
i		19906
s	f	19888
i	l	19816
s	m	19743
s	l	19554
i	l	19537
i	l	19469
t	i	19468
f	l	19379
h	b	19337
y	v	19281
l	h	19265
s	f	19264
r	i	19207
s	f	19075
s	f	18941
s	f	18808
s	f	18745
h	l	18699
i		18679
b	h	18663
s	f	18635
s	f	18544
s	f	18423
i		18392
i		18283
s	f	18237
s	f	18233
s	f	18195
s	f	18024
i		18019
w	v	17919
s	f	17827
s	f	17734
i		17692
h	l	17661
i		17651
i		17592
t	i	17525
n	u	17484
s	f	17425
h	l	17406
s	f	17381
f	i	17353
s	f	17275
s	f	17195
s	f	17125
w	i	17046
b	h	16935
o		16891
i		16851
s	f	16766
s	f	16741
t	l	16741
w	v	16715
r	i	16600
o		16560
s	f	16496
h	l	16353
s	f	16164
h	l	16150
y	v	15977
s	f	15948
s	f	15948
h	l	15783
f	i	15652
e	c	15511
w	a	15480
i		15458
s	f	15419
s	f	15414
i		15372
s	f	15365
s	f	15343
h	l	15311
n	u	15244
l	h	15220
s	f	15204
i	l	15139
n	n	15139
f	f	15139
o	o	15139
r	r	15139
m	m	15139
a	a	15139
t	t	15139
i	l	15139
f	l	15088
i		15070
s	f	15066
h	l	15010
i		14920
o		14878
s	f	14822
s	f	14788
s	f	14787
s	f	14778
s	f	14743
s	f	14739
r	i	14737
s	f	14709
o	c	14707
l	u	14706
s	j	14676
s	f	14644
r	i	14619
y	v	14536
s	f	14491
y	v	14453
y	v	14386
h	l	14363
s	f	14318
s	f	14313
s	f	14275
y	v	14257
s	f	14233
s	f	14221
s	f	14121
s	f	14103
s	f	13959
u	n	13928
w	i	13888
s	f	13841
w	v	13801
e		13770
s	f	13756
s	m	13735
s	f	13666
l	h	13628
y	v	13544
s	f	13541
i		13507
h	l	13456
i		13453
i	l	13453
s	f	13450
s	f	13444
h	l	13444
s	f	13434
h	l	13375
o		13373
s	f	13355
s	f	13312
s	f	13309
e	c	13259
s	f	13179
i	l	13139
s	f	13093
s	f	13091
s	l	13091
s	f	13068
o		13056
h	b	13047
s	f	12962
n	u	12955
y	v	12935
s	f	12933
h	l	12905
r	i	12893
y	v	12861
w	v	12843
h	l	12823
o		12788
s	f	12775
u	n	12742
s	f	12725
h	l	12725
s	m	12721
s	f	12702
s	f	12657
s	f	12603
e		12602
s	f	12588
h	l	12587
t	l	12561
b	h	12477
t	i	12455
n	u	12422
l	u	12417
o		12407
y	v	12401
s	f	12400
s	f	12398
s	f	12388
w	i	12379
i	m	12361
s	f	12353
s	f	12343
s	f	12342
b	h	12339
s	f	12287
h	b	12258
h	l	12249
l	h	12234
i		12234
s	i	12233
s	f	12184
i		12184
s	f	12181
w	i	12175
n	u	12159
s	f	12156
s	f	12141
y	v	12104
s	f	12103
s	f	12080
h	l	12048
f	i	12028
s	f	12020
s	f	12012
s	f	11983
s	f	11966
h	l	11929
y	v	11902
i		11884
s	f	11840
h	l	11811
s	f	11808
l	i	11752
h	l	11729
e	c	11727
h	l	11707
s	f	11679
u	n	11646
s	f	11645
l	u	11645
h	l	11642
h	l	11615
s	f	11536
h	b	11523
s	f	11498
s	f	11494
s	f	11492
h	b	11464
s	f	11441
y	v	11400
r	i	11366
s	f	11338
s	f	11304
h	l	11296
f	l	11290
s	f	11272
s	f	11263
s	f	11262
r	i	11258
s	f	11240
s	f	11237
s	f	11236
s	f	11209
s	f	11206
h	l	11181
s	f	11170
s	f	11168
s	f	11167
s	f	11143
s	f	11119
s	f	11114
s	f	11102
s	f	11069
u	n	11056
u	n	11051
s	f	11036
s	f	10998
e	c	10990
e	c	10990
i		10973
s	f	10970
s	f	10968
s	f	10962
s	l	10962
s	f	10955
s	f	10933
i		10929
s	f	10923
i		10895
n	u	10888
s	f	10871
y	v	10861
u	n	10861
h	l	10857
s	f	10841
f	l	10794
n	u	10793
s	f	10785
u	n	10777
s	f	10763
c	d	10735
s	f	10727
h	l	10724
s	f	10705
f	l	10681
s	f	10679
s	f	10664
i		10652
s	f	10648
s	f	10636
s	f	10627
s	f	10626
s	f	10598
s	f	10593
r	i	10570
s	f	10548
s	f	10543
s	f	10541
t	i	10536
s	f	10520
t	l	10520
s	f	10454
s	f	10414
u	n	10403
s	f	10390
h	l	10386
s	f	10370
h	l	10355
h	b	10345
s	f	10332
s	f	10314
s	f	10298
h	l	10282
s	f	10274
i		10249
s	f	10246
y	v	10244
b	h	10208
s	f	10207
s	f	10195
f	i	10190
i		10158
s	f	10157
s	f	10157
s	f	10155
s	f	10155
s	f	10155
h	l	10152
s	f	10150
s	f	10142
s	f	10112
h	l	10091
h	l	10083
i		10068
s	f	10062
s	f	10061
s	f	10029
f	i	9999
s	f	9975
r	i	9966
s	f	9962
l	h	9946
s	f	9943
n	u	9913
s	f	9891
o		9876
y	v	9876
f	l	9860
s	f	9855
s	f	9855
b	h	9854
s	f	9848
i	i	9848
n	n	9848
e	e	9848
s	f	9848
s	f	9827
s	f	9820
s	f	9808
s	f	9804
s	f	9804
l	i	9776
h	l	9773
t	l	9766
h	l	9748
s	f	9730
n	u	9722
s	f	9721
n		9719
s	f	9705
s	f	9684
s	f	9679
s	f	9664
s	f	9660
u	u	9660
p	p	9660
p	p	9660
o	o	9660
s	f	9660
i	e	9658
s	f	9657
f	i	9646
l	u	9615
s	f	9610
s	l	9610
s	f	9608
y	v	9607
s	f	9606
o		9579
s	f	9579
s	f	9579
s	l	9575
s	f	9553
s	f	9545
s	f	9535
s	f	9531
s	l	9531
s	f	9523
s	f	9519
